Plot	Row	Column	Genotype	Year	Germ	PH
270	17	14	G143	1982	67	380
271	17	15	G145	1982	65	385
272	17	16	G103	1986	59	400
273	18	16	G68	2003	34	400
274	18	15	G112	2005	68	410
275	18	14	G104	2003	54	300
276	18	13	G108	2003	69	420
277	18	12	G11	2018	95	400
278	18	11	G11	2018	95	410
279	18	10	G13	2018	95	95
280	18	9	G11	2018	95	408
281	18	8	G10	2018	95	300
282	18	7	G11	2018	95	398
283	18	6	G10	2018	95	290
284	18	5	G11	2018	95	407
285	18	4	G11	2018	95	400
286	18	3	G13	2018	95	125
287	18	2	G13	2018	95	115
288	18	1	G10	2018	95	300
